project_id,bbl,validated_borough,validated_block,validated_lot,validated,validated_date
2024Q0219,4113840037,Queens,11384,37,true,2023-11-16T14:49:15.000
2024Q0219,4113840038,Queens,11384,38,true,2023-11-16T14:49:20.000
2024Q0219,4113840039,Queens,11384,39,true,2023-11-16T14:49:12.000
2024Q0219,4113840040,Queens,11384,40,true,2023-11-16T14:49:07.000
2024Q0219,4113840042,Queens,11384,42,true,2023-11-16T14:49:14.000
2024Q0219,4113840045,Queens,11384,45,true,2023-11-16T14:49:11.000
2025Q0247,4022210001,Queens,2221,1,true,2024-10-30T16:13:31.000
2025Q0247,4022210006,Queens,2221,6,true,2024-10-30T16:14:57.000
2026X0362,2025710001,Bronx,2571,1,true,2026-02-10T20:41:59.000
P2012Q0076,4160050010,Queens,16005,10,,2018-04-10T04:00:00.000
P2012Q0076,4160070001,Queens,16007,1,true,2020-09-21T13:22:38.000
P2012Q0076,4160620001,Queens,16062,1,,2018-04-10T04:00:00.000
P2012Q0076,4160620004,Queens,16062,4,,2018-04-10T04:00:00.000
P2012Q0076,4160620005,Queens,16062,5,,2018-04-10T04:00:00.000
P2012Q0076,4160620006,Queens,16062,6,,2018-04-10T04:00:00.000
P2012Q0076,4160620007,Queens,16062,7,,2018-04-10T04:00:00.000
P2012Q0076,4160650067,Queens,16065,67,,2018-04-10T04:00:00.000
P2012Q0076,4160650069,Queens,16065,69,,2018-04-10T04:00:00.000
P2012Q0076,4160660001,Queens,16066,1,,2018-04-10T04:00:00.000
P2012Q0076,4160660033,Queens,16066,33,,2018-04-10T04:00:00.000
P2012Q0076,4160660039,Queens,16066,39,,2018-04-10T04:00:00.000
P2012Q0076,4160660040,Queens,16066,40,,2018-04-10T04:00:00.000
P2012Q0076,4160660045,Queens,16066,45,,2018-04-10T04:00:00.000
P2012Q0076,4160660047,Queens,16066,47,,2018-04-10T04:00:00.000
P2012Q0076,4160660049,Queens,16066,49,,2018-04-10T04:00:00.000
P2012Q0076,4160660050,Queens,16066,50,,2018-04-10T04:00:00.000
P2012Q0076,4160660052,Queens,16066,52,,2018-04-10T04:00:00.000
P2012Q0076,4160660053,Queens,16066,53,,2018-04-10T04:00:00.000
P2012Q0076,4160670001,Queens,16067,1,,2018-04-10T04:00:00.000
P2012Q0076,4160670020,Queens,16067,20,,2018-04-10T04:00:00.000
P2012Q0076,4160670022,Queens,16067,22,,2018-04-10T04:00:00.000
P2012Q0076,4160670024,Queens,16067,24,,2018-04-10T04:00:00.000
P2012Q0076,4160670025,Queens,16067,25,,2018-04-10T04:00:00.000
P2012Q0110,4027350112,Queens,2735,112,true,2020-09-21T13:23:18.000
